Index, X, Y, Depth
357, 620.54, 1068.23, 265.21
358, 972.34, 1575.24, 194.88
359, 852.50, 1051.66, 260.30
360, 706.89, 1706.11, 185.63
361, 901.25, 1075.01, 251.34
362, 454.74, 1805.39, 172.79
363, 508.52, 1055.54, 264.76
364, 895.66, 1416.48, 211.23
365, 793.95, 1730.91, 183.58
366, 374.77, 845.32, 296.65
367, 241.17, 1049.90, 241.97
368, 779.39, 1226.04, 238.02
369, 761.45, 1261.40, 232.98
370, 765.97, 1765.03, 180.85
371, 457.45, 1700.72, 181.17
372, 674.39, 1660.54, 189.28
373, 734.95, 1459.85, 209.38
374, 840.73, 1483.75, 205.46
375, 642.53, 1855.28, 173.23
376, 737.10, 1253.20, 234.86
377, 254.00, 1239.51, 216.37
378, 372.73, 1614.59, 185.33
379, 439.93, 1736.51, 178.00
380, 962.32, 1542.10, 198.22
381, 337.34, 1712.23, 175.78
382, 801.83, 1425.74, 212.20
383, 204.21, 1096.11, 231.91
384, 945.07, 1771.18, 179.27
385, 1003.50, 1639.76, 187.99
386, 1062.34, 1709.49, 181.29
387, 723.27, 922.43, 291.09
388, 780.52, 1313.41, 225.32
389, 651.71, 723.40, 341.92
390, 447.59, 1832.47, 170.34
391, 874.44, 1820.07, 176.39
392, 301.33, 1269.61, 216.74
393, 611.97, 818.72, 317.29
394, 507.44, 1685.23, 184.12
395, 503.81, 1574.80, 194.42
396, 897.50, 1810.55, 176.89
397, 947.36, 1840.69, 174.00
398, 174.44, 932.83, 257.28
399, 1016.93, 1727.55, 181.28
400, 1018.11, 1493.60, 200.32
401, 869.52, 1352.54, 218.72
402, 223.06, 1770.01, 166.63
403, 213.00, 1218.59, 217.51
404, 509.99, 1215.28, 238.78
405, 385.52, 988.98, 267.53
406, 395.15, 1846.90, 167.82
407, 319.71, 1535.85, 190.76
408, 599.85, 1618.14, 192.09
409, 767.67, 1295.13, 228.42
410, 899.35, 1737.00, 182.08
411, 757.01, 1865.68, 173.40
412, 829.57, 1669.15, 188.46
413, 725.88, 891.06, 298.81
414, 344.16, 1842.96, 165.92
415, 882.63, 1023.61, 260.72
416, 320.45, 922.65, 273.47
417, 558.39, 876.02, 303.32
418, 991.02, 1745.52, 180.51
419, 1061.02, 1764.08, 176.72
420, 569.14, 1155.03, 249.38
421, 786.28, 1080.03, 259.63
422, 358.82, 1605.66, 185.74
423, 832.11, 1341.90, 220.70
424, 294.24, 1613.80, 182.39
425, 947.43, 1526.96, 199.26
426, 903.30, 1078.42, 251.31
427, 682.08, 1558.99, 199.03
428, 667.43, 936.34, 291.10
429, 912.35, 1218.24, 232.67
430, 784.52, 1694.08, 186.81
431, 392.47, 1844.93, 168.02
432, 167.51, 1624.91, 175.29
433, 291.22, 1834.55, 165.13
434, 423.94, 1474.15, 201.29
435, 424.02, 908.34, 287.87
436, 346.26, 834.24, 296.12
437, 699.68, 1609.79, 193.85
438, 957.35, 1859.21, 172.43
439, 246.66, 1162.24, 226.56
440, 318.18, 1577.57, 186.50
441, 1054.00, 1478.70, 200.44
442, 834.00, 1044.82, 260.95
443, 612.55, 1082.03, 263.23
444, 855.13, 1182.00, 239.85
445, 962.32, 1542.10, 198.22
446, 284.43, 929.43, 267.46
447, 397.99, 1557.80, 192.18
448, 236.05, 1640.47, 177.55
449, 883.92, 1817.64, 176.48
450, 454.96, 1631.64, 187.47
451, 181.97, 1091.11, 231.40
452, 392.03, 1504.69, 196.89
453, 465.39, 1664.42, 184.90
454, 297.64, 980.34, 258.62
455, 899.40, 1199.94, 235.49
456, 427.61, 918.80, 285.93
457, 234.38, 1187.51, 222.67
458, 891.62, 1291.51, 224.69
459, 547.14, 1213.24, 240.38
460, 401.60, 1806.83, 170.68
461, 970.67, 1623.77, 190.09
462, 950.08, 1735.00, 182.13
463, 874.92, 1366.19, 217.03
464, 381.56, 916.86, 282.85
465, 324.69, 1843.65, 165.59
466, 435.18, 1785.26, 174.02
467, 812.61, 1362.10, 218.81
468, 445.90, 1806.24, 172.15
469, 387.49, 1850.66, 167.06
470, 413.95, 1448.50, 203.02
471, 1032.04, 1764.31, 177.50
472, 917.90, 1150.08, 240.68
473, 691.58, 973.95, 282.65
474, 306.08, 846.40, 287.15
475, 925.67, 1430.98, 208.90
476, 814.28, 1368.04, 218.05
477, 132.04, 965.27, 246.95
478, 771.77, 1830.50, 176.00
479, 804.01, 1447.64, 210.31
